latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.493847,-0.1630249,23.0,3600,Europe/London,BST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°)
2011-11-01,51,15.0,8.9,13.1,13.2,7.1,11.3,2011-11-01T07:53,2011-11-01T17:34,34876.89,23635.93,0.90,0.90,5.0,18.8,205
2011-11-02,51,14.2,8.4,11.4,12.1,6.0,8.6,2011-11-02T07:55,2011-11-02T17:33,34662.17,24176.65,1.60,1.60,5.0,23.4,142
2011-11-03,53,15.6,12.9,14.6,13.7,11.9,12.8,2011-11-03T07:57,2011-11-03T17:31,34448.32,899.05,4.10,4.10,15.0,25.8,163
2011-11-04,61,14.9,11.1,12.7,12.8,10.2,11.4,2011-11-04T07:59,2011-11-04T17:29,34235.54,10425.34,12.80,12.80,16.0,19.6,177
2011-11-05,51,13.9,8.6,11.4,12.0,7.5,9.7,2011-11-05T08:00,2011-11-05T17:27,34024.06,6934.98,0.40,0.40,4.0,19.0,355
2011-11-06,3,11.2,7.9,9.9,7.9,4.1,6.1,2011-11-06T08:02,2011-11-06T17:26,33814.12,11457.71,0.00,0.00,0.0,23.6,1
2011-11-07,3,12.9,9.7,11.2,9.5,5.8,8.0,2011-11-07T08:04,2011-11-07T17:24,33605.95,0.00,0.00,0.00,0.0,22.1,28
2011-11-08,51,11.8,9.9,10.8,9.7,8.1,8.9,2011-11-08T08:06,2011-11-08T17:22,33399.78,0.00,0.10,0.10,1.0,12.6,97
2011-11-09,3,14.5,9.8,11.4,11.9,7.9,9.4,2011-11-09T08:07,2011-11-09T17:21,33195.87,25653.29,0.00,0.00,0.0,19.9,153
2011-11-10,53,14.1,8.6,10.9,13.0,7.0,9.3,2011-11-10T08:09,2011-11-10T17:19,32994.46,13305.33,0.90,0.90,2.0,13.8,115
2011-11-11,3,12.6,8.6,10.4,10.4,6.3,8.1,2011-11-11T08:11,2011-11-11T17:17,32795.84,191.26,0.00,0.00,0.0,19.5,124
2011-11-12,51,15.9,11.3,13.2,15.5,9.3,12.2,2011-11-12T08:13,2011-11-12T17:16,32600.26,14279.88,0.30,0.30,2.0,16.8,136
2011-11-13,3,14.6,9.3,11.2,12.6,7.0,9.1,2011-11-13T08:14,2011-11-13T17:14,32407.99,26025.54,0.00,0.00,0.0,16.7,93
2011-11-14,3,11.8,8.7,9.8,10.0,6.4,7.6,2011-11-14T08:16,2011-11-14T17:13,32219.33,1166.46,0.00,0.00,0.0,15.6,89
2011-11-15,3,10.2,6.8,8.7,7.1,3.9,5.9,2011-11-15T08:18,2011-11-15T17:12,32034.55,17073.68,0.00,0.00,0.0,16.2,81
2011-11-16,3,9.7,6.3,7.7,7.5,3.8,5.2,2011-11-16T08:19,2011-11-16T17:10,31853.96,26352.93,0.00,0.00,0.0,13.5,114
2011-11-17,3,13.4,8.6,10.4,11.9,5.7,8.5,2011-11-17T08:21,2011-11-17T17:09,31677.57,27012.97,0.00,0.00,0.0,16.9,191
2011-11-18,2,13.5,8.6,10.6,10.7,6.0,7.9,2011-11-18T08:23,2011-11-18T17:08,31503.51,26611.43,0.00,0.00,0.0,21.0,178
2011-11-19,3,12.2,5.8,8.5,10.8,3.6,6.2,2011-11-19T08:24,2011-11-19T17:06,31331.59,26619.14,0.00,0.00,0.0,13.9,130
2011-11-20,3,10.6,3.8,6.7,9.0,1.3,4.6,2011-11-20T08:26,2011-11-20T17:05,31162.03,16005.89,0.00,0.00,0.0,11.2,129
2011-11-21,3,10.2,4.7,7.7,8.0,2.2,5.4,2011-11-21T08:28,2011-11-21T17:04,30995.05,129.62,0.00,0.00,0.0,14.4,115
2011-11-22,51,12.9,8.8,10.3,12.8,7.5,9.2,2011-11-22T08:29,2011-11-22T17:03,30830.88,0.00,0.40,0.40,3.0,11.8,23
2011-11-23,3,10.2,2.9,7.4,7.5,0.1,4.9,2011-11-23T08:31,2011-11-23T17:02,30669.77,20276.44,0.00,0.00,0.0,13.9,238
2011-11-24,3,12.1,7.7,9.6,9.2,5.0,6.5,2011-11-24T08:33,2011-11-24T17:01,30511.93,8172.79,0.00,0.00,0.0,24.5,210
2011-11-25,3,12.6,6.4,10.5,9.5,3.3,6.7,2011-11-25T08:34,2011-11-25T17:00,30357.63,24357.22,0.00,0.00,0.0,27.6,243
2011-11-26,2,11.9,6.2,8.9,6.9,2.8,4.8,2011-11-26T08:36,2011-11-26T16:59,30207.11,21413.77,0.00,0.00,0.0,32.4,234
2011-11-27,3,13.1,3.0,9.8,8.6,-0.1,5.5,2011-11-27T08:37,2011-11-27T16:58,30060.62,22510.20,0.00,0.00,0.0,32.2,252
2011-11-28,3,11.7,0.1,5.8,8.6,-3.1,2.7,2011-11-28T08:39,2011-11-28T16:57,29918.42,16263.54,0.00,0.00,0.0,21.6,195
2011-11-29,61,13.1,6.1,11.0,9.3,1.4,6.6,2011-11-29T08:40,2011-11-29T16:57,29780.77,7367.76,2.30,2.30,3.0,36.6,210
2011-11-30,3,11.2,5.6,8.1,7.5,0.9,3.8,2011-11-30T08:42,2011-11-30T16:56,29647.94,24027.56,0.00,0.00,0.0,27.0,210
2011-12-01,55,10.9,6.4,9.2,7.5,3.6,5.9,2011-12-01T08:43,2011-12-01T16:55,29520.20,8147.81,5.20,5.20,10.0,34.9,217
2011-12-02,53,6.9,1.7,5.1,4.2,-1.5,1.8,2011-12-02T08:45,2011-12-02T16:54,29397.82,15261.53,0.90,0.90,3.0,25.2,244
2011-12-03,53,10.4,6.8,9.0,6.7,2.2,4.8,2011-12-03T08:46,2011-12-03T16:54,29281.07,18140.74,1.60,1.60,6.0,30.4,246
2011-12-04,51,8.6,3.8,7.0,4.4,-0.8,2.9,2011-12-04T08:47,2011-12-04T16:53,29170.23,198.88,0.90,0.90,5.0,20.5,259
2011-12-05,2,6.3,1.9,3.6,0.9,-3.4,-1.5,2011-12-05T08:48,2011-12-05T16:53,29065.58,23400.90,0.00,0.00,0.0,24.1,263
2011-12-06,3,6.3,2.0,4.0,1.8,-2.9,-0.7,2011-12-06T08:50,2011-12-06T16:52,28967.40,16641.27,0.00,0.00,0.0,20.4,254
2011-12-07,51,7.8,4.2,6.2,1.8,-0.8,0.5,2011-12-07T08:51,2011-12-07T16:52,28875.76,23479.32,0.10,0.10,1.0,32.7,266
2011-12-08,53,12.0,2.8,7.9,5.9,-1.5,2.8,2011-12-08T08:52,2011-12-08T16:52,28789.60,1280.06,1.40,1.40,4.0,39.6,231
2011-12-09,1,6.9,1.8,4.6,1.7,-2.5,-0.6,2011-12-09T08:53,2011-12-09T16:52,28708.74,23253.98,0.00,0.00,0.0,26.6,260
2011-12-10,1,5.2,-1.1,1.4,1.3,-5.2,-2.6,2011-12-10T08:54,2011-12-10T16:51,28633.31,23067.75,0.00,0.00,0.0,13.3,250
2011-12-11,61,8.1,1.3,5.6,5.0,-2.6,1.7,2011-12-11T08:55,2011-12-11T16:51,28563.41,0.00,7.80,7.80,12.0,23.2,203
2011-12-12,61,8.0,1.9,5.5,4.3,-2.8,0.8,2011-12-12T08:56,2011-12-12T16:51,28499.12,22778.97,4.40,4.40,5.0,42.0,223
2011-12-13,63,11.5,4.6,7.4,6.7,-1.4,1.5,2011-12-13T08:57,2011-12-13T16:51,28440.57,22681.58,7.80,7.80,8.0,43.2,230
2011-12-14,3,6.1,3.9,4.8,0.9,-1.2,-0.2,2011-12-14T08:58,2011-12-14T16:51,28387.84,20738.13,0.00,0.00,0.0,25.8,229
2011-12-15,53,7.2,3.0,4.9,1.9,-2.0,-0.2,2011-12-15T08:59,2011-12-15T16:51,28341.02,20915.71,0.90,0.90,2.0,33.0,237
2011-12-16,73,4.8,1.1,2.7,0.6,-3.8,-2.2,2011-12-16T09:00,2011-12-16T16:51,28300.19,11617.15,8.60,7.50,13.0,23.6,327
2011-12-17,3,4.3,-1.0,1.5,-0.4,-5.5,-3.1,2011-12-17T09:01,2011-12-17T16:52,28265.46,22374.34,0.00,0.00,0.0,20.9,294
